Title,Time,Stock
100 startups participate in Maxis' Market Access Day | The Edge Markets,2019-12-12T23:50:12+08:00,maxis 
14-day targeted MCO at Ayer Keroh Industrial Area in Melaka | The Edge Markets,2021-07-08T20:51:11+08:00,ayer 
"16 departments in Perak have launched the Organisational Anti-Corruption Plan, says Saarani | The Edge Markets",2021-06-30T02:10:34+08:00,prkcorp 
16.89% stake in Subur Tiasa traded off-market | The Edge Markets,2020-02-20T22:41:12+08:00,subur 
"1MDB drops US$1b lawsuit against Wong & Partners, lawyer Brian Chia | The Edge Markets",2021-07-26T16:19:01+08:00,cihldg 
Najib wanted 1MDB's Genting Sanyen deal sped up on fears caretaker govt couldn't approve it – witness | The Edge Markets,2020-07-16T17:42:30+08:00,genting 
"2021 may be more volatile year for palm oil industry, says Sime Darby Oils MD | The Edge Markets",2021-03-23T19:58:30+08:00,sime 
"25bps OPR cut likely in 2H20, says Manulife | The Edge Markets",2020-01-16T17:03:43+08:00,manulfe 
A 25-month extension on concession pushes Pharmaniaga up by 9.7% | The Edge Markets,2019-11-11T10:49:58+08:00,pharma 
3.7% of Yong Tai transacted off-market | The Edge Markets,2019-09-05T19:55:54+08:00,yongtai 
"Three-A Resources, BP Plastics, Hong Leong Industries, EP Manufacturing, Kumpulan Jetson, Revenue Group | The Edge Markets",2021-06-02T13:34:32+08:00,3a 
"Three-A Resources, BP Plastics, Hong Leong Industries, EP Manufacturing, Kumpulan Jetson, Revenue Group | The Edge Markets",2021-06-02T13:34:32+08:00,hlind 
"Three-A Resources, BP Plastics, Hong Leong Industries, EP Manufacturing, Kumpulan Jetson, Revenue Group | The Edge Markets",2021-06-02T13:34:32+08:00,epmb 
"Three-A Resources, BP Plastics, Hong Leong Industries, EP Manufacturing, Kumpulan Jetson, Revenue Group | The Edge Markets",2021-06-02T13:34:32+08:00,jetson 
"3A, Ruberex, Thriven, Kanger, UniWall | The Edge Markets",2020-03-04T13:23:15+08:00,kanger 
40% stake in IWH-CREC may cost Ekovest RM1.5b | The Edge Markets,2020-09-16T10:00:00+08:00,ekovest 
4.41% Kronologi Asia shares traded off-market | The Edge Markets,2020-02-12T23:54:51+08:00,krono 
4.96% of MMAG traded off market | The Edge Markets,2019-07-23T22:42:17+08:00,mmag 
A 4.96% stake in Media Prima crosses off market at same price paid by Syed Mokhtar | The Edge Markets,2019-07-11T21:05:40+08:00,media 
5.71% of Sern Kou Resources traded in two off-market deals | The Edge Markets,2019-07-23T22:37:41+08:00,sernkou 
5.9% stake in Jiankun International traded off market | The Edge Markets,2020-03-11T00:25:32+08:00,jiankun 
6% stake in GHL Systems traded off-market | The Edge Markets,2020-02-26T23:04:35+08:00,ghlsys 
6% stake in Green Packet crossed off market at price higher than today's closing | The Edge Markets,2020-06-19T19:50:35+08:00,gpacket 
6.25% of XingHe shares exchange hands in off-market trades | The Edge Markets,2019-09-03T22:13:35+08:00,xinghe 
"The 7 trading themes for Bursa in 2H2021, according to CGS-CIMB | The Edge Markets",2021-07-23T08:00:00+08:00,cimb 
79 workers test positive for Covid-19 at New Hoong Fatt's plastic parts factory | The Edge Markets,2021-01-04T19:07:10+08:00,nhfatt 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,drbhcom 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,genting 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,bjcorp 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,umw 
