"SUPERCOMNET","SCOMNET","0001"
"KOTRA","KOTRA","0002"
"UCREST","UCREST","0005"
"PINEAPPLE RESOURCES","PINEAPP","0006"
"PUC","PUC","0007"
"WILLOWGLEN","WILLOW","0008"
"IRIS","IRIS","0010"
"BRITE-TECH","BTECH","0011"
"THREE-A RESOURCES","3A","0012"
"M3 TECHNOLOGIES","M3TECH","0017"
"ACCSOFT TECHNOLOGY","ACCSOFT","0018"
"NETX","NETX","0020"
"GHL SYSTEMS","GHLSYS","0021"
"PARLO","PARLO","0022"
"IFCA MSC","IFCAMSC","0023"
"JAG","JAG","0024"
"LNG RESOURCES","LNGRES","0025"
"NOVA MSC","NOVAMSC","0026"
"SCOPE INDUSTRIES","SCOPE","0028"
"DIGISTAR","DIGISTA","0029"
"REDTONE","REDTONE","0032"
"MMAG","MMAG","0034"
"OPCOM","OPCOM","0035"
"KEY ALLIANCE","KGROUP","0036"
"RGB","RGB","0037"
"PLASTRADE TECHNOLOGY","PTB","0038"
"GFM SERVICES","GFM","0039"
"OPENSYS","OPENSYS","0040"
"PANPAGES","PANPAGE","0041"
"METRONIC GLOBAL","MTRONIC","0043"
"G NEPTUNE","GNB","0045"
"PERISAI PETROLEUM","PERISAI","0047"
"ANCOM LOGISTICS","ANCOMLB","0048"
"OCEANCASH","OCNCASH","0049"
"SYSTECH","SYSTECH","0050"
"CUSCAPI","CUSCAPI","0051"
"OSK VENTURES","OSKVI","0053"
"KARYON","KARYON","0054"
"SERSOL","SERSOL","0055"
"GRAND-FLO","GRANFLO","0056"
"JCBNEXT","JCBNEXT","0058"
"M-MODE","MMODE","0059"
"SKH","SKH","0060"
"EFFICIENT E-SOLUTIONS","EFFICEN","0064"
"EXCEL FORCE","EFORCE","0065"
"VSOLAR","VSOLAR","0066"
"ASDION","ASDION","0068"
"VIVOCOM INTL","VIVOCOM","0069"
"MQ TECHNOLOGY","MQTECH","0070"
"AT SYSTEMATIZATION","SYSTEMATIZATION","0072"
"GREEN OCEAN","GOCEAN","0074"
"MEXTER TECHNOLOGY","MEXTER","0075"
"GD EXPRESS CARRIER","GDEX","0078"
"ORION IXL","ORION","0079"
"STRAITS INTER LOGISTICS","STRAITS","0080"
"MEGA SUN CITY","MEGASUN","0081"
"GREEN PACKET","GPACKET","0082"
"NOTION VTEC","NOTION","0083"
"TECHFAST","TECFAST","0084"
"MLABS SYSTEMS","MLAB","0085"
"YGL CONVERGENCE","YGL","0086"
"TEX CYCLE TECHNOLOGY","TEXCYCL","0089"
"ELSOFT RESEARCH","ELSOFT","0090"
"DAYA MATERIALS","DAYA","0091"
"MTOUCHE TECHNOLOGY","MTOUCHE","0092"
"SOLUTION ENGINEERING","SOLUTN","0093"
"INIX TECHNOLOGIES","INIX","0094"
"XINGHE","XINGHE","0095"
"NEXGRAM","NEXGRAM","0096"
"VITROX","VITROX","0097"
"BORNEO AQUA HARVEST","BAHVEST","0098"
"SCICOM (MSC)","SCICOM","0099"
"ES CERAMICS TECHNOLOGY","ESCERAM","0100"
"TMC LIFE SCIENCES","TMCLIFE","0101"
"CONNECTCOUNTY","CONNECT","0102"
"M N C WIRELESS","MNC","0103"
"GENETEC TECHNOLOGY","GENETEC","0104"
"ASIA POLY","ASIAPLY","0105"
"REXIT","REXIT","0106"
"EDUSPEC","EDUSPEC","0107"
"N2N CONNECT","N2N","0108"
"SC ESTATE BUILDER","SCBUILD","0109"
"K-ONE TECHNOLOGY","K1","0111"
"MIKRO MSC","MIKROMB","0112"
"MMS VENTURES","MMSV","0113"
"FOCUS DYNAMICS","FOCUS","0116"
"SMRT","SMRT","0117"
"TRIVE PROPERTY","TRIVE","0118"
"APPASIA","APPASIA","0119"
"VISDYNAMICS","VIS","0120"
"ADVANCE INFORMATION MARKETING","AIM","0122"
"PRIVASIA TECHNOLOGY","PRIVA","0123"
"MICROLINK SOLUTIONS","MICROLN","0126"
"JHM CONSOLIDATION","JHM","0127"
"FRONTKEN","FRONTKN","0128"
"SILVER RIDGE","SRIDGE","0129"
